Col0,Type of,Col2,240kg/m2 Wind Pressure,Col4,Col5,540kg/m2 Wind Pressure,Col7,Col8
,Mounting,,,,,,,
,Method,,,,,,,
"Bolt type
mounting
system",,,,,,,,
,,,,Use 4 mounting holes,,,Use eight mounting holes,
"Clamping on
Portrait
position",,,,"949mm
A MOUNTING AREA
1956mm
A MOUNTING AREA
A = 489mm",,"B
A
MOUNTING AREA
1956mm
MOUNTING AREA
A
B
A = 489mm, B = 244.5mm",,
"Clamping on
Landscape
position",,,,,,,"Support bar
1956mm
Yx MOUNTING AREA
949mm
Yx MOUNTING AREA
X = 47.45mm; Y = 189.80mm",
,,,,,,,,
,,,,Mounting rails should run parallel to the,,,Mounting rails should run parallel to the,
,,,,short side of the frame. If the expected,,,short side of the frame. An additional,
,,,,"load is greater than 160kg/m2, a support",,,support bar should be used below the,
,,,,bar should be inserted.,,,module.,
