0-Sr,1-.,2-Descriptio,3-n,4-Upto 3,5-line,6-Upto 4 line,7-Upto 6,8-line,9-Upto 4,10-line
No,.,,,station,,station,station,,station,with
,,,,,,,,,lit LED,sign
(vi,i),Total solar,panel,require,d (nos.),,,,,
(a),,For 12 hrs.,,90,,144,180,,108,
,,load per da,y,,,,,,,
(b),,For 10 hrs.,,72,,117,153,,90,
,,load per da,y,,,,,,,
(c),,For 08 hrs.,,63,,99,126,,72,
,,load per da,y,,,,,,,
(d),,For 06 hrs.,,45,,72,90,,54,
,,load per da,y,,,,,,,
4.,,Area requ,ireme,nt for f,ixing sola,r panels (size a,pprox.,1.2,,
,,mx0.55m,per pa,nel) in,square m,eter,,,,
(a),,For 12 hrs.,,60,,95,119,,72,
,,load per da,y,,,,,,,
(b),,For 10 hrs.,,48,,78,101,,60,
,,load per da,y,,,,,,,
(c),,For 08 hrs.,,42,,66,84,,48,
,,load per da,y,,,,,,,
(d),,For 06 hrs.,,30,,48,60,,36,
,,load per da,y,,,,,,,
5.,,Approxim,ate co,st of so,lar panels,(@ Rs. 15400/,-),,,
(a),,For 12 hrs.,,14 lakh,s,23 lakhs,28 lakh,s,17 lakh,s
,,load per da,y,,,,,,,
(b),,For 10 hrs.,,11 lakh,s,18 lakhs,24 lakh,s,14 lakh,s
,,load per da,y,,,,,,,
(c),,For 08 hrs.,,10 lakh,s,16 lakhs,20 lakh,s,11 lakh,s
,,load per da,y,,,,,,,
(d),,For 06 hrs.,,07 lakh,s,11 lakhs,14 lakh,s,9 lakhs,
,,load per da,y,,,,,,,
,,.,,,,,,,,
,No,te: Actual,solar p,anel re,quirement,shall be carried,out by t,he Railway,as per t,he gu
,,,,,,,,,,
,giv,en above in,the ta,ble B b,ased on ac,tual signalling l,oad at a,station with,IPS sy,stem
,,,,,,,,,,
,,,,,,Go to Index,,,,
