"Sl.
No.",Col1,Col2,Parameters,Col4,Col5,Description,Col7,Col8
1.,,,General Information,,,,,
1.1.,,,Name of the System Owner,,,,,
1.2.,,,Contact phone number of owner,,,,,
1.3.,,,Email address if any,,,,,
1.4.,,,System location (physical address),,,,,
1.5.,,,"Geo-spatial coordinates (Take GPS
data up to 6 decimal place)",,,,,
1.6.,,,System capacity (DC capacity kWp),,,,,
1.7.,,,Date of commission,,,,,
1.8.,,,Implementing company,,,,,
1.9.,,,"Service centre contact details of
implementing company",,,"Land phone contact:
Mobile phone contact
Email contact:",,
,2.,,,Solar PV Array,,,,
2.1.,,,Make and Model No.,,,,,
2.2.,,,"Country of origin (separately for solar
cells and module)",,,,,
2.3.,,,Power at STC with Tolerance,,,,,
2.4.,,,Total number of modules,,,,,
2.5.,,,Unique Serial Nos.,,,,,
2.6.,,,Presence of RFID tag,,,,,
2.7.,,,Quality Standard (BIS/IEC),,,,,
