8.9.,Type of SPDs used in DC side,Col2
8.10.,Type of SPDs used in AC side,
9.,DC Cables,
9.1.,Make,
9.2.,Type,
9.3.,Voltage rating,
9.4.,Size of string cables,
9.5.,"Size of array cable from DCDB to
inverter",
9.6.,Type of conduit/ cable tray used,
9.7.,Marking of cables/ cable route?,
10.,AC Cables,
10.1.,Make,
10.2.,Type,
10.3.,Voltage rating,
10.4.,"Size of AC cables from inverter to
ACDB",
10.5.,Type of conduit/ cable tray used,
11.,Drawings & Manuals,
11.1.,"Whether all engineering drawings
and SLDs provided?",
11.2.,"Whether datasheet of all equipment
provided?",
11.3.,"Whether test results and commission
data of the system provided?",
11.4.,"Whether O&M manual / user manual
provided which include the following
minimum information?",
,Safety instruction,
