Col0,Col1,Col2,"Procedures for verifying correct
system operation",Col4,Col5,Col6,Col7,Col8
,,,"A checklist of what to do in case of a
system failure",,,,,
,,,"Emergency shutdown and isolation
procedures.",,,,,
,,,"Maintenance and cleaning
recommendations",,,,,
,12.,,,Energy generation and performance ratio,,,,
12.1.,,,"Projected annual energy generation
of the installed PV plant",,,,,
12.2.,,,"Estimated and guaranteed
performance ratio of the plant",,,,,
12.3.,,,Tested performance ratio of the plant,,,,,
,13.,,,Shadow,,,,
13.1.,,,"Is the PV array free from shadow
(8:30 am to 3:30 pm)",,,,,
13.2.,,,"Any object closed to the array that
can create noon shadow?",,,,,
13.3.,,,"Is there any mountain or tall object
away from the system which can
create far shadow?",,,,,
,14.,,,Result of anti-islanding functionality test,,,,
14.1.,,,"Disconnection time for anti-Islanding
functionality test",,,,,
14.2.,,,"Reconnection time for anti-Islanding
functionality test",,,,,
Signature of the House owner:,,,,,,Signature of the Installer:,,
Name of the signatory:,,,,,,Name of the signatory:,,
,,,,,,,,
